SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height
subImage_1,channel0,0,0,0.36010987,0.6026775,0.42311698,0.62005,501.31829023361206,166.43570512533188,3.1708936763669326,1.052724257592232,107.63888888888889,0.0901039908914005,0.16937396859609952
subImage_1,channel1,0,0,0.514715,0.21286497,0.57607955,0.22858712,180.99535524845123,231.79384469985962,1.144815656220438,1.466121724856797,103.06818181818181,0.0815443868956786,0.16495841805652905
subImage_1,channel2,0,0,0.5089518,0.4067338,0.57912403,0.42730916,341.9576162099838,231.2161110341549,2.162919773624186,1.4624674954722003,123.1452380952381,0.1067158921016763,0.18863508137323523
subImage_1,channel3,0,0,0.8622049,0.21140607,0.92339224,0.22850807,180.36479622125626,379.43939343094826,1.1408273005772058,2.399996163383607,91.52777777777777,0.08870109133445937,0.16448206158094508
subImage_1,channel4,0,0,0.6934718,0.40636575,0.7590443,0.42577073,341.1759576201439,308.6596667766571,2.157975696522099,1.9523065577271164,118.9065934065934,0.1006456774145195,0.17627016190559633
subImage_1,channel5,0,0,0.007983291,0.6030156,0.07143798,0.6214375,502.02576756477356,16.877019417006522,3.1753685487967966,0.10674901592034486,119.84923076923077,0.09554679600367585,0.17057711468829262
subImage_1,channel6,0,0,0.536626,0.6030142,0.6023583,0.62017316,501.506804227829,242.0341558754444,3.1720860482468622,1.5308928265366502,116.76923076923077,0.0889966338590155,0.1766997319395824
subImage_1,channel7,0,0,0.6981712,0.31007397,0.7656951,0.32652596,261.0059705376625,311.0715873539448,1.6508916542546648,1.9675622223525917,90.43434343434343,0.08532971162572832,0.18151585132844986
subImage_1,channel8,0,0,0.35309067,0.895086,0.41875556,0.91354245,741.5376603603363,164.01732489466667,4.6903077821653145,1.037427734944128,102.92285714285714,0.09572610004577058,0.17651851459216045
subImage_1,channel9,0,0,0.88711274,0.89572144,0.9507155,0.9131367,741.6318440437317,390.53849652409554,4.690903504387929,2.4701992190012367,122.28,0.09032595692971776,0.1709751224005094
subImage_1,channel10,0,0,0.883614,0.5049301,0.9354593,0.51936376,419.9604743719101,386.5530803799629,2.656296485590829,2.4449910207461283,60.75555555555555,0.07486160158884819,0.13936911859819964
subImage_1,channel11,0,0,0.6920251,0.2132702,0.75251096,0.22832626,181.05454996228218,306.9639191031456,1.1451900693376482,1.9415807659908006,121.91699604743083,0.0780896153501285,0.16259634366599462
subImage_1,channel12,0,0,0.15760677,0.4071089,0.22433752,0.4266894,341.8572986125946,81.1631603166461,2.162285253716601,0.5133659729073125,113.0978835978836,0.10155595457305039,0.1793837435142968
subImage_1,channel13,0,0,0.32784528,0.21274845,0.39151073,0.22857828,180.94396233558655,152.86315008997917,1.1444905903579161,0.9668763446551497,78.69090909090909,0.08210285715782363,0.17114368177229358
subImage_1,channel14,0,0,0.52823806,0.7990621,0.58614695,0.8148991,661.7240756750107,236.80681437253952,4.185478024509871,1.4978293129192886,137.1897233201581,0.08214010911829331,0.15566906621379237
subImage_1,channel15,0,0,0.5229557,0.70033425,0.57971007,0.71549636,580.490550994873,234.3164786696434,3.671666989214883,1.4820776639446134,69.25454545454545,0.07863966141374408,0.15256545876943936
subImage_1,channel16,0,0,0.70220214,0.7984703,0.7670674,0.8146182,661.3662803173065,312.21977174282074,4.1832149292682255,1.9748246157041158,115.97202797202797,0.083752299772645,0.17436890191929313
subImage_1,channel17,0,0,0.1663731,0.7999999,0.22670971,0.8152977,662.2720223665237,83.53009764105082,4.188943847985602,0.5283371134791323,116.76893939393939,0.07934358435141595,0.1621951739634237
