SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height 
subImage_85,channel59,6636,0,0.33918533,0.37639755,0.39610544,0.38924402,6810.263911485672,309.319194316864,55.8152995906799,2.6025371459473834,80.28888888888889,0.08733437775798554,0.22112273608838462
subImage_85,channel60,6636,0,0.007899835,0.39827642,0.08368618,0.42154253,6657.705885599367,331.2068532705307,54.56497037723401,2.786694632813176,119.56286549707602,0.15817037545581528,0.2944141140709457
subImage_85,channel61,6636,0,0.68944234,0.17580271,0.7412865,0.19039848,6975.082738101482,147.945281624794,57.16611540418028,1.2447759404214296,88.69818181818182,0.09922672114552794,0.20140380284892578
subImage_85,channel62,6636,0,0.018042043,0.07268937,0.10207736,0.10856345,6664.468297876418,73.22614020109177,54.620393496235714,0.6161070939958229,124.70172413793104,0.2438834015610961,0.32645963459505634
subImage_85,channel63,6636,0,0.016781801,0.47085926,0.09427336,0.5081996,6662.320072906092,395.53976809978485,54.60278715647189,3.327976272059561,122.0072072072072,0.2538512952550158,0.30103850471196697
subImage_86,channel0,6636,808,0.38369313,0.5589571,0.43866208,0.5754367,6830.89818495512,1266.29509973526,55.98441317724604,10.654301754763386,92.34023668639053,0.11203362640252476,0.21354289485313702
subImage_86,channel1,6636,808,0.5165987,0.1618897,0.58497685,0.1809474,6897.073406159878,946.5061864852905,56.526769515418735,7.96367491722343,102.07765151515152,0.12956023009747925,0.26563482406811834
subImage_86,channel2,6636,808,0.21873271,0.5585336,0.27622408,0.57579386,6753.3047595620155,1266.2682983875275,55.348475959412376,10.654076254683478,88.96825396825396,0.11734067859758218,0.22334192650838194
subImage_86,channel3,6636,808,0.061366387,0.55729765,0.11949907,0.5757501,6678.865113817155,1265.751294851303,54.73838636777905,10.649726311542764,95.01234567901234,0.12544571471314594,0.22583333476409603
subImage_86,channel4,6636,808,0.37971833,0.35941607,0.44308794,0.37740356,6831.005085736513,1105.6751284599304,55.985289310567374,9.302884030595802,112.29493087557604,0.12228466148159346,0.24617765989896495
subImage_86,channel5,6636,808,0.6995249,0.3593362,0.7660757,0.37826428,6983.347330391407,1105.990592122078,57.23385003247846,9.305538265813079,108.67916666666666,0.1286790981590084,0.25853591548127797
subImage_86,channel6,6636,808,0.86525035,0.6586359,0.92764175,0.67474234,7060.915427327156,1346.6848151683807,57.86957966431342,11.330681444128915,77.3050397877984,0.10949659854933284,0.24237755101146638
subImage_86,channel7,6636,808,0.5381644,0.3593726,0.60071373,0.37772316,6905.914111375809,1105.786680340767,56.599225827924904,9.303822601233872,109.7632183908046,0.12475300602203725,0.24299116271983376
subImage_86,channel8,6636,808,0.19439733,0.16241302,0.25680727,0.17995504,6742.935489714146,946.3166927695274,55.26349189556143,7.962080562772565,95.9039408866995,0.11925621364294259,0.24244956355535402
subImage_86,channel9,6636,808,0.52719885,0.75688195,0.5839764,0.77311105,6899.348531663418,1426.117171049118,56.54541590170229,11.999006140972536,87.26210826210826,0.11033052337314198,0.22056886468973752
subImage_86,channel10,6636,808,0.35669738,0.16221455,0.41706187,0.17998323,6819.380941271782,946.2479014396667,55.89002059349312,7.961501769103854,110.97448979591837,0.12079713085564432,0.23450340770779052
subImage_86,channel11,6636,808,0.21600157,0.360235,0.27897668,0.377407,6753.309845030308,1106.007376074791,55.348517638698226,9.305679481945779,36.8,0.11674076329065827,0.2446451357133689
subImage_86,channel12,6636,808,0.69958484,0.55956095,0.7610047,0.5759849,6982.159718155861,1266.7605233192444,57.22411664569842,10.65821771661824,101.77188328912467,0.11165515906266192,0.23860326012603686
subImage_86,channel13,6636,808,0.551506,0.6574607,0.6095694,0.6735175,6911.1748588085175,1345.7151987552643,56.64234165982862,11.322523325335062,109.76353276353277,0.10915946276050427,0.2255641270990241
subImage_86,channel14,6636,808,0.06393532,0.85410815,0.11991726,0.87187046,6679.5730604454875,1505.2953596115112,54.74418852958484,12.665192335261416,84.28571428571429,0.1207537732481868,0.21747814303621896
subImage_86,channel15,6636,808,0.3664046,0.75642157,0.42478675,0.7734201,6823.512347459793,1426.0560312271118,55.92388061376718,11.998491725246673,108.51373626373626,0.11556139584668525,0.2268024649919859
subImage_86,channel16,6636,808,0.6879872,0.2608328,0.74610114,0.27751434,6975.878938794136,1025.492238521576,57.17264087525928,8.628244521092201,96.81216931216932,0.11340648223491802,0.22576048284570166
subImage_86,channel17,6636,808,0.84173435,0.7568498,0.9047501,0.77397984,7049.916816651821,1426.4551858901978,57.779437673062574,12.00185011637385,74.70238095238095,0.11645529194062254,0.24480305389642798
subImage_86,channel18,6636,808,0.54242426,0.9531122,0.60363114,0.96897626,6907.615129888058,1584.523731470108,56.61316697016322,13.331800759708903,42.367816091954026,0.10784900946594707,0.23777592630188718
subImage_86,channel19,6636,808,0.69021565,0.75742406,0.7438392,0.7728338,6975.87099981308,1426.2241837978363,57.17257580926304,11.999906520447027,97.33538461538461,0.10476048905434689,0.20831631240737533
subImage_86,channel20,6636,808,0.84400845,0.06481601,0.90240717,0.078071386,7049.9005007743835,865.7265090346336,57.77930395202047,7.284014181434681,88.4074074074074,0.0901142284735038,0.22686683633346746
subImage_86,channel21,6636,808,0.67466754,0.16264403,0.738414,0.17888978,6970.90032184124,945.9796591997147,57.13183731751397,7.959244843551176,117.34491315136476,0.11044377992720157,0.24764164481449427
subImage_86,channel22,6636,808,0.5315268,0.26103076,0.58396906,0.27707157,6900.372518956661,1025.3933408260345,56.55380825746005,8.627412419719173,90.30461538461539,0.1090504609249335,0.20372719148355156
subImage_86,channel23,6636,808,0.8560845,0.3598862,0.9168495,0.37768245,7056.185362637043,1105.9777332544327,57.83081318166409,9.305430074400078,108.24827586206897,0.12098454107479482,0.2360592028279869
subImage_86,channel24,6636,808,0.5307932,0.06444876,0.5805779,0.07919732,6899.394950687885,866.0330148339272,56.54579634096147,7.286593047353013,91.38636363636364,0.10026537897090634,0.19340323237816745
subImage_86,channel25,6636,808,0.040143207,0.16243303,0.10218319,0.18084748,6669.731356725097,946.6853256821632,54.66352827195372,7.965182151248095,109.45517241379311,0.1251872912163606,0.24101238073614298
