SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height
subImage_7,channel0,479,0,0.17698267,0.6508133,0.22612646,0.66743046,537.8434467315674,575.5446374118328,4.477638880723137,4.666217815476986,83.46474358974359,0.11288614394498969,0.19084912194735149
subImage_7,channel1,479,0,0.19480059,0.17552127,0.24839306,0.1916939,149.8237899541855,585.1448778063059,1.2473087312542377,4.744051592128957,135.46461538461537,0.10986618955968994,0.2081255071453676
subImage_7,channel2,479,0,0.6406657,0.17851257,0.694107,0.19359294,151.81904768943787,798.6780630946159,1.2639195938885621,6.475268058446041,107.0448717948718,0.102446028114416,0.2075383741601021
subImage_7,channel3,479,0,0.77566695,0.08215415,0.8233433,0.09722644,73.18727999925613,861.9629498720169,0.6092966503366084,6.988349141885706,87.2463768115942,0.10239121279917315,0.1851502399851057
subImage_7,channel4,479,0,0.34734362,0.1762985,0.39340672,0.19213706,150.32170915603638,656.4097070544958,1.2514539939532903,5.321829915892368,117.86363636363636,0.10759674440284901,0.17888528914232898
subImage_7,channel5,479,0,0.3311588,0.9361504,0.38448307,0.95165133,770.223096370697,650.3962245583534,6.412239293977399,5.273075714510625,60.75739644970414,0.1053033080554032,0.2070839913293999
subImage_7,channel6,479,0,0.7844858,0.9382204,0.830955,0.95347214,771.8105478286743,865.8980824947357,6.425455099455173,7.02025315897979,78.53846153846153,0.10361036007364631,0.18046243505011783
subImage_7,channel7,479,0,0.32468545,0.55557805,0.3860312,0.573622,460.71361684799194,649.2166412174702,3.8355198268442035,5.263512263750627,51.65057471264368,0.12257858494937011,0.2382352560213216
subImage_7,channel8,479,0,0.4910443,0.17679232,0.54544616,0.1920445,150.48542261123657,727.2394676059484,1.2528169365284143,5.896080928007458,81.93910256410257,0.10361319447591186,0.21126868822438202
subImage_7,channel9,479,0,0.17966469,0.7458739,0.23114938,0.7599642,614.3819675445557,577.3899677917361,5.114835185238711,4.6811787984041615,74.63888888888889,0.09572019399555143,0.19993996132447375
subImage_7,channel10,479,0,0.62425905,0.08041111,0.6774423,0.09595964,71.95926493406296,790.7574773728848,0.5990732144363714,6.411052051899691,107.16923076923077,0.10562648052800297,0.20653632460630186
subImage_7,channel11,479,0,0.338834,0.84096324,0.39071503,0.8558289,692.291187286377,653.726990416646,5.763442793275421,5.300079838911886,81.68,0.10098732323417701,0.20147920341742434
subImage_7,channel12,479,0,0.47979447,0.4627324,0.53052557,0.4778956,383.77622079849243,720.9716490060091,3.1950028176172243,5.845264701230095,67.80333333333333,0.10300865696412927,0.19701338174002353
subImage_7,channel13,479,0,0.48599213,0.5573748,0.53818953,0.572705,461.07253646850586,724.29150852561,3.8385078942040156,5.8721804026862054,56.067692307692305,0.10414322769957121,0.2027077499655405
subImage_7,channel14,479,0,0.9297321,0.27296615,0.9808637,0.2860125,228.06328797340393,936.5876880288124,1.8986659625601698,7.593367866807606,87.25,0.08862831706982052,0.19856876912204266
subImage_7,channel15,479,0,0.18901698,0.84055203,0.24133083,0.85588074,692.1445698738098,582.0683017298579,5.762222178185488,4.719108306820715,64.59076923076923,0.10413310483433708,0.2031599916647175
subImage_7,channel16,479,0,0.3279532,0.6513772,0.37985525,0.66603804,537.5054168701172,648.5201201736927,4.474824724188047,5.257865231892343,58.177083333333336,0.09959603663639738,0.2015607978890609
subImage_7,channel17,479,0,0.32982892,0.27217397,0.38241464,0.28589296,227.6913092136383,649.5823318958282,1.895569175627743,5.266477094360433,97.43706293706293,0.09319777843650945,0.2042158009803265
subImage_7,channel18,479,0,0.48471716,0.93646884,0.53039616,0.95304775,770.9227695465088,722.1196410804987,6.418064193090426,5.854572026364942,53.18531468531469,0.11262618876577708,0.1773936727587095
subImage_7,channel19,479,0,0.48368424,0.7474847,0.52706987,0.7609069,615.4237561225891,721.0756089687347,5.1235082537140135,5.846107554761574,77.59740259740259,0.09118150613917426,0.16848737577169284
subImage_7,channel20,479,0,0.77977276,0.46234086,0.83669966,0.4783851,383.8161885738373,866.1451453268528,3.1953355561974703,7.022256216455837,63.28490028490028,0.10899390226246444,0.22107472339934545
subImage_7,channel21,479,0,0.3304913,0.46169764,0.3857119,0.4763583,382.7268204689026,650.5306694507599,3.1862663800055553,5.274165724062218,63.256410256410255,0.09959482189256928,0.21444832640774472
subImage_7,channel22,479,0,0.9241926,0.93811816,0.98231906,0.9530033,771.5775504112244,935.6095436215401,6.423515356019008,7.585437578585569,80.67857142857143,0.10111973031143952,0.2257331311771763
