SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX15Y0P0015.jpg,1.36,2.352,0.136,12.64278784,1.364,73,613,20,34,680
captureX15Y0P0015.jpg,1.376,1.752,0.136,13.24290906,1.376,71,631,21,34,714
captureX15Y0P0015.jpg,1.376,1.152,0.136,13.848,1.376,74,652,21,35,735
captureX15Y0P0015.jpg,1.384,0.528,0.12,14.46545972,1.391791504,68,580,21,31,651
captureX15Y0P0015.jpg,2.008,2.992,0.12,12.008,2.012,64,547,20,31,620
captureX15Y0P0015.jpg,2.016,2.392,0.12,12.608,2.016,63,542,20,31,620
captureX15Y0P0015.jpg,2.008,1.792,0.128,13.20675,2.012,67,589,20,33,660
captureX15Y0P0015.jpg,2.016,1.192,0.128,13.808,2.016,67,582,20,33,660
captureX15Y0P0015.jpg,2.024,0.592,0.128,14.404,2.024,65,569,20,32,640
captureX15Y0P0015.jpg,2.632,3.04,0.104,11.96,2.636,47,395,16,27,432
captureX15Y0P0015.jpg,2.632,2.432,0.112,12.564,2.636,48,426,17,28,476
captureX15Y0P0015.jpg,2.64,1.832,0.112,13.164,2.644,49,415,16,28,448
captureX15Y0P0015.jpg,2.64,1.232,0.112,13.768,2.644,46,439,17,29,493
captureX15Y0P0015.jpg,2.648,0.624,0.112,14.372,2.652,49,414,16,28,448
captureX15Y0P0015.jpg,3.272,3.064,0.136,11.93309082,3.272,62,596,20,34,680
captureX15Y0P0015.jpg,3.28,2.456,0.128,12.537125,3.28,64,576,20,33,660
captureX15Y0P0015.jpg,3.288,1.848,0.128,13.148,3.288,65,563,20,32,640
captureX15Y0P0015.jpg,3.288,1.256,0.128,13.744,3.288,68,589,20,33,660
captureX15Y0P0015.jpg,3.288,0.648,0.136,14.348,3.292,67,620,21,34,714
captureX15Y0P0015.jpg,3.312,0.08,0.104,14.91942857,3.316,81,421,20,23,460
captureX15Y0P0015.jpg,3.912,3.064,0.12,11.932,3.912,56,488,18,30,540
captureX15Y0P0015.jpg,3.92,2.456,0.112,12.53728564,3.92,53,462,18,29,522
captureX15Y0P0015.jpg,3.912,1.856,0.12,13.14,3.916,54,485,18,30,540
