SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height
subImage_1,channel0,0,0,0.49129564,0.83153945,0.5547602,0.84964395,659.8644836246967,260.9909354150295,4.20295849442482,1.7434264222780864,151.81944444444446,0.09052246809005737,0.21154860655466717
subImage_1,channel1,0,0,0.3298314,0.62466913,0.38501912,0.64320767,497.6416455209255,178.3552035242319,3.1696920096874237,1.19141752521197,106.82916666666667,0.09269267320632935,0.18395910660425824
subImage_1,channel2,0,0,0.77986073,0.6262545,0.8441882,0.644346,498.7106953561306,405.200212597847,3.1765012443065643,2.7067482471466064,159.08035714285714,0.0904574990272522,0.21442492802937826
subImage_1,channel3,0,0,0.19175789,0.42165858,0.2565184,0.4415787,338.82062524557114,111.84493219852448,2.1580931544303894,0.7471271355946859,142.73251028806584,0.09960055351257324,0.21586835384368896
subImage_1,channel4,0,0,0.1741832,0.6257268,0.23122053,0.64350784,498.1746029853821,101.14823144674301,3.173086643218994,0.6756728887557983,95.076,0.08890509605407715,0.19012441237767538
subImage_1,channel5,0,0,0.78228897,0.93339664,0.84498006,0.9524439,740.1924100518227,406.00362288951874,4.7146013379096985,2.7121150493621826,154.74897119341563,0.09523630142211914,0.208970308303833
subImage_1,channel6,0,0,0.8127832,0.21919507,0.8666261,0.23689096,179.01376467198133,419.012611746788,1.1402150616049767,2.7990154425303144,115.45410628019323,0.08847944438457489,0.17947634061177573
subImage_1,channel7,0,0,0.20056516,0.11763714,0.25021443,0.13111407,97.63484921306372,112.46950696408749,0.621878020465374,0.7512993117173513,97.56666666666666,0.06738461554050446,0.16549756129582724
subImage_1,channel8,0,0,0.32429537,0.93374276,0.3849765,0.9523443,740.2891710400581,176.9633335620165,4.715217649936676,1.182119796673457,148.4897119341564,0.09300768375396729,0.20227044820785522
subImage_1,channel9,0,0,0.03735932,0.83169186,0.09640722,0.8500391,660.0794118642807,33.37475157901645,4.204327464103699,0.22294423232475918,123.96503496503496,0.0917363166809082,0.19682633380095166
subImage_1,channel10,0,0,0.1937207,0.31868866,0.24575628,0.33596146,256.9501728564501,109.6495069488883,1.6366253048181534,0.732461636265119,106.55555555555556,0.08636400103569031,0.17345195015271506
subImage_1,channel11,0,0,0.6350224,0.6252468,0.6907206,0.6429584,497.77055099606514,330.77288338541985,3.1705130636692047,2.209571699301402,141.48333333333332,0.0885578989982605,0.185660719871521
subImage_1,channel12,0,0,0.79673827,0.83192647,0.85592616,0.8495163,659.9662744998932,412.33977353572845,4.203606843948364,2.7544407049814863,162.1196581196581,0.08794903755187988,0.197292963663737
subImage_1,channel13,0,0,0.17585683,0.9327739,0.23346278,0.9515427,739.5942512154579,102.12524254620075,4.7107914090156555,0.6821993490060171,157.78,0.09384393692016602,0.1920198400815328
