SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax
subImage_8,lightHole,1491,257,0.4256688,0.6382777,0.48007596,0.65857804
subImage_8,lightHole,1491,257,0.48476085,0.33301014,0.5333272,0.35448396
subImage_9,lightHole,1988,0,0.5157163,0.11560765,0.5698485,0.1421618
subImage_9,lightHole,1988,0,0.44010824,0.116520636,0.49614993,0.14427903
subImage_9,lightHole,1988,0,0.29180294,0.120181136,0.33088216,0.14461961
subImage_9,lightHole,1988,0,0.012310621,0.12053002,0.05148441,0.14974305
subImage_10,lightHole,1988,257,0.7449915,0.021863068,0.80003023,0.04388903
subImage_10,lightHole,1988,257,0.45961788,0.62254965,0.5078326,0.6460205
subImage_10,lightHole,1988,257,0.06730837,0.926595,0.12720594,0.9505637
subImage_10,lightHole,1988,257,0.5968319,0.024641965,0.6492431,0.050097402
subImage_10,lightHole,1988,257,0.8212175,0.17298958,0.8766845,0.1979575
subImage_10,lightHole,1988,257,0.16334373,0.6259834,0.21466497,0.6510438
subImage_10,lightHole,1988,257,0.6755324,0.31991962,0.71969366,0.34200165
subImage_10,lightHole,1988,257,0.7532106,0.6199649,0.80381,0.64476055
subImage_10,lightHole,1988,257,0.67569137,0.7650698,0.8085848,0.7998374
subImage_10,lightHole,1988,257,0.29638678,0.9264591,0.35323802,0.9488868
subImage_10,lightHole,1988,257,0.6756393,0.6230186,0.723431,0.6427109
subImage_10,lightHole,1988,257,0.6505661,0.91363084,0.7869477,0.94988126
subImage_11,lightHole,2485,0,0.40665263,0.56224006,0.46476564,0.58800817
subImage_11,lightHole,2485,0,0.4852626,0.41114354,0.5282229,0.43216825
subImage_11,lightHole,2485,0,0.5579525,0.5617163,0.6077464,0.58396065
subImage_12,lightHole,2485,257,0.69627655,0.30753988,0.7511874,0.33169028
subImage_12,lightHole,2485,257,0.25985017,0.4605453,0.3120955,0.48443887
subImage_12,lightHole,2485,257,0.62363875,0.0033649427,0.70863956,0.033781394
subImage_12,lightHole,2485,257,0.55180734,0.0012962493,0.6727373,0.03468806
subImage_12,lightHole,2485,257,0.62980855,0.1539082,0.6988633,0.17986022
subImage_12,lightHole,2485,257,0.5568517,0.0011188796,0.62206256,0.033443566
subImage_12,lightHole,2485,257,0.48233637,0.0007769684,0.6052854,0.038148593
subImage_12,lightHole,2485,257,0.40667352,0.15797012,0.45368785,0.18008289
subImage_12,lightHole,2485,257,0.26395154,0.9081484,0.32062843,0.9354845
subImage_12,lightHole,2485,257,0.55704564,0.31261006,0.60853565,0.332411
