SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_2,lightHole,0,746,0.23314601,0.59305704,0.27321804,0.61749595,65.06778011,1197.536265
subImage_2,lightHole,0,746,0.08067755,0.25169593,0.11671453,0.27265662,25.3648818,941.5835013
subImage_2,lightHole,0,746,0.23669556,0.24952531,0.270129,0.27231413,65.12695506,940.6461111
subImage_2,lightHole,0,746,0.08698104,0.6923781,0.12243467,0.7162298,26.90991892,1271.410747
subImage_2,lightHole,0,746,0.23282525,0.10069319,0.27040535,0.1270962,64.6651323,830.9654442
subImage_2,lightHole,0,746,0.23748466,0.54329485,0.27563277,0.56673825,65.93559009,1160.042344
subImage_2,darkHole,0,746,0.6958354,0.003545837,0.7324563,0.027935455,183.5354883,757.7425216
subImage_2,darkHole,0,746,0.3735444,0.24734206,0.42813274,0.26984763,103.0155122,938.9117568
subImage_2,lightHole,0,746,0.23094872,0.34675416,0.2734078,0.36988518,64.8098107,1013.306474
subImage_2,lightHole,0,746,0.07368078,0.102199554,0.11869034,0.12497639,24.71968925,830.7366269
subImage_2,darkHole,0,746,0.3848094,0.44299388,0.4313319,0.46542445,104.874158,1084.840036
subImage_2,lightHole,0,746,0.23996443,0.8896148,0.27492338,0.9095572,66.16308355,1417.091172
subImage_2,lightHole,0,746,0.08054845,0.05351882,0.1162992,0.075575314,25.29492269,794.1521124
subImage_2,lightHole,0,746,0.24107651,0.7386331,0.27750763,0.76409274,66.6380629,1306.516738
subImage_2,darkHole,0,746,0.69996214,0.49244726,0.7332885,0.5162505,184.1727105,1122.24426
subImage_2,darkHole,0,746,0.3857339,0.098949015,0.42516777,0.12494393,104.2008648,829.5120674
subImage_2,lightHole,0,746,0.07839003,0.005842718,0.11565658,0.025962975,24.93498927,757.8635236
subImage_2,lightHole,0,746,0.09180402,0.93656373,0.13158402,0.9608743,28.70536296,1453.744392
subImage_2,lightHole,0,746,0.07627454,0.49301836,0.12310474,0.51916265,25.62023751,1123.543518
subImage_2,darkHole,0,746,0.6990285,0.8356106,0.73386717,0.8573962,184.1270924,1377.491541
subImage_2,lightHole,0,746,0.08592468,0.8366069,0.12411489,0.8631551,26.99008486,1380.011243
subImage_2,lightHole,0,746,0.24021295,0.44549263,0.2749267,0.46777973,66.19544366,1086.650587
subImage_2,lightHole,0,746,0.2344348,0.15081534,0.27301762,0.17300919,65.20763513,866.7865478
subImage_2,lightHole,0,746,0.08455596,0.44678837,0.120617196,0.4711502,26.36475069,1088.391083
subImage_2,lightHole,0,746,0.08173031,0.20112483,0.11954599,0.22353947,25.86400485,904.3997853
subImage_2,lightHole,0,746,0.24392785,0.9345301,0.27564782,0.9584097,66.76547364,1452.066548
subImage_2,lightHole,0,746,0.39913106,0.6905421,0.42953092,0.7107874,106.4830642,1268.69591
subImage_2,darkHole,0,746,0.5395549,0.24773063,0.5764709,0.26545823,143.409316,937.4194425
subImage_2,darkHole,0,746,0.5424952,0.14916655,0.5775187,0.17076908,143.9217852,865.3359918
subImage_2,lightHole,0,746,0.08202821,0.6427813,0.11980632,0.66705173,25.93573706,1234.567728
subImage_2,lightHole,0,746,0.08391818,0.29884234,0.12621062,0.32319298,27.00154972,978.0191761
subImage_2,lightHole,0,746,0.08619708,0.54534644,0.12859467,0.5690717,27.60073923,1161.67797
subImage_2,darkHole,0,746,0.3967454,0.7877196,0.42964077,0.80896735,106.1906246,1341.564236
subImage_2,darkHole,0,746,0.39146316,0.54106814,0.42645168,0.5645737,105.1020574,1158.404407
subImage_2,darkHole,0,746,0.3838433,0.3931373,0.4234835,0.41697392,103.741493,1048.171487
subImage_2,darkHole,0,746,0.704761,0.8851993,0.7376119,0.91145396,185.34492,1416.15167
subImage_2,darkHole,0,746,0.5380984,0.34188396,0.5737353,0.3645382,142.8706294,1009.495462
subImage_2,lightHole,0,746,0.087655336,0.78889877,0.12529722,0.8121206,27.36440322,1343.18023
subImage_2,lightHole,0,746,0.39472204,0.4941147,0.42775625,0.5159673,105.6884608,1122.760588
subImage_2,lightHole,0,746,0.24087359,0.837245,0.2724165,0.8619436,65.95777687,1379.797344
subImage_2,darkHole,0,746,0.84620667,0.53931206,0.8814687,0.56146574,222.0062861,1156.590121
subImage_2,lightHole,0,746,0.2462465,0.98615533,0.27786407,1,67.34820832,1486.835939
subImage_2,darkHole,0,746,0.3966075,0.8359005,0.4360196,0.859463,106.9925808,1378.370571
subImage_2,lightHole,0,746,0.0860275,0.5941036,0.120881416,0.61647075,26.58779608,1197.544225
subImage_2,darkHole,0,746,0.38439065,0.05097644,0.4167196,0.07233754,102.9426656,791.9961139
subImage_2,darkHole,0,746,0.55087525,0.97962564,0.62334985,1,150.8879243,1484.400365
subImage_2,darkHole,0,746,0.54062694,0.0985691,0.5715532,0.12067672,142.9151446,827.7786913
subImage_2,darkHole,0,746,0.6915702,0.6413972,0.7368236,0.66218066,183.5486085,1232.234534
subImage_2,darkHole,0,746,0.3975901,0.7370365,0.43803102,0.76044583,107.3773137,1304.56092
subImage_2,darkHole,0,746,0.5470972,0.8347907,0.58022845,0.8599124,144.8613465,1378.124257
subImage_2,darkHole,0,746,0.69622874,0.44425437,0.73553175,0.46665898,183.981223,1085.770679
subImage_2,darkHole,0,746,0.7006323,0.59152347,0.7424202,0.6131385,185.4322425,1195.338913
