SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax
subImage_1,lightHole,0,0,0.07611198,0.95729023,0.120660864,0.9796677
subImage_1,darkHole,0,0,0.532635,0.85620654,0.5706802,0.8791339
subImage_1,lightHole,0,0,0.5329436,0.7604901,0.5693439,0.77890974
subImage_1,darkHole,0,0,0.3834503,0.85913545,0.41966313,0.8781651
subImage_1,darkHole,0,0,0.37749022,0.66094595,0.4172847,0.68465966
subImage_1,darkHole,0,0,0.53364676,0.6573104,0.56914735,0.6842081
subImage_1,darkHole,0,0,0.3755382,0.61236274,0.40936407,0.6334477
subImage_1,lightHole,0,0,0.07211296,0.5669479,0.11304768,0.5901368
subImage_1,lightHole,0,0,0.22343898,0.7617957,0.25426468,0.7839082
subImage_1,lightHole,0,0,0.22692013,0.8585404,0.26601568,0.8849902
subImage_1,lightHole,0,0,0.07158924,0.61531705,0.117740534,0.6382746
subImage_1,lightHole,0,0,0.53771687,0.9568292,0.57126796,0.977403
subImage_1,lightHole,0,0,0.079872824,0.8106489,0.12003113,0.83334225
subImage_1,lightHole,0,0,0.2241126,0.71176386,0.25965053,0.73445874
subImage_1,darkHole,0,0,0.53171074,0.70772207,0.5730596,0.7335548
subImage_1,lightHole,0,0,0.23234352,0.95398843,0.27769285,0.9805875
subImage_1,darkHole,0,0,0.83449185,0.7555027,0.8645854,0.7744947
subImage_1,lightHole,0,0,0.075923406,0.7619313,0.111997604,0.7858911
subImage_1,darkHole,0,0,0.38195157,0.759071,0.41427952,0.7830023
subImage_1,darkHole,0,0,0.2321557,0.90601337,0.2634859,0.93296725
subImage_1,darkHole,0,0,0.8171323,0.7084475,0.86522484,0.729139
subImage_1,lightHole,0,0,0.0719507,0.66458595,0.11524858,0.6847952
subImage_1,darkHole,0,0,0.5225504,0.5645583,0.5597184,0.58576506
subImage_1,lightHole,0,0,0.22347935,0.66444224,0.24889539,0.68602616
subImage_1,darkHole,0,0,0.83525825,0.6573645,0.8667916,0.67817414
subImage_1,lightHole,0,0,0.2212659,0.61640096,0.25056094,0.63671607
subImage_1,darkHole,0,0,0.38152015,0.8088807,0.41143844,0.8320753
subImage_1,darkHole,0,0,0.8348122,0.6115541,0.8657026,0.6302188
subImage_1,darkHole,0,0,0.68100715,0.7576972,0.7199706,0.7815093
subImage_1,darkHole,0,0,0.6768727,0.5640485,0.7115946,0.58810675
subImage_1,halfHole,0,0,0.8451859,0.85719156,0.8707452,0.8762027
subImage_1,halfHole,0,0,0.84442514,0.90388376,0.8732334,0.9244578
subImage_1,darkHole,0,0,0.37733454,0.7112849,0.40807977,0.7338893
subImage_1,halfHole,0,0,0.22194283,0.56386065,0.26282722,0.5942202
subImage_1,darkHole,0,0,0.3791868,0.954478,0.41352922,0.97585124
subImage_1,darkHole,0,0,0.53456503,0.80742455,0.5777763,0.83283025
subImage_1,darkHole,0,0,0.83825105,0.80532306,0.87211174,0.8278986
subImage_1,darkHole,0,0,0.38278094,0.90595806,0.41890648,0.9279018
subImage_1,lightHole,0,0,0.6910008,0.9076572,0.72126,0.928193
subImage_1,lightHole,0,0,0.5318071,0.6148434,0.5630387,0.6303947
subImage_1,lightHole,0,0,0.072563976,0.8614159,0.11524963,0.8838056
subImage_1,halfHole,0,0,0.6838488,0.6624157,0.7142615,0.68530804
subImage_2,lightHole,0,746,0.23604645,0.39593872,0.27553162,0.41874817
subImage_2,lightHole,0,746,0.23733246,0.4963387,0.27510697,0.518303
subImage_2,lightHole,0,746,0.24075086,0.6386838,0.27857757,0.6656054
subImage_2,lightHole,0,746,0.23427607,0.19929296,0.27032772,0.22189642
subImage_2,lightHole,0,746,0.23391399,0.051756732,0.26985073,0.07397431
subImage_2,lightHole,0,746,0.23462072,0.0048322342,0.272942,0.027236719
subImage_2,lightHole,0,746,0.54965824,0.68866104,0.5897975,0.71166795
subImage_2,lightHole,0,746,0.08922521,0.886938,0.1313384,0.9112821
subImage_2,darkHole,0,746,0.6881406,0.39599562,0.73198336,0.41734013
subImage_2,lightHole,0,746,0.23955366,0.6906023,0.2753279,0.71252334
subImage_2,lightHole,0,746,0.23091848,0.29795772,0.26831895,0.3212591
subImage_2,lightHole,0,746,0.23314601,0.59305704,0.27321804,0.61749595
subImage_2,lightHole,0,746,0.08067755,0.25169593,0.11671453,0.27265662
subImage_2,lightHole,0,746,0.23669556,0.24952531,0.270129,0.27231413
subImage_2,lightHole,0,746,0.08698104,0.6923781,0.12243467,0.7162298
subImage_2,lightHole,0,746,0.23282525,0.10069319,0.27040535,0.1270962
subImage_2,lightHole,0,746,0.23748466,0.54329485,0.27563277,0.56673825
subImage_2,darkHole,0,746,0.6958354,0.0035458365,0.7324563,0.027935455
subImage_2,darkHole,0,746,0.3735444,0.24734206,0.42813274,0.26984763
subImage_2,lightHole,0,746,0.23094872,0.34675416,0.2734078,0.36988518
subImage_2,lightHole,0,746,0.07368078,0.102199554,0.11869034,0.12497639
subImage_2,darkHole,0,746,0.3848094,0.44299388,0.4313319,0.46542445
subImage_2,lightHole,0,746,0.23996443,0.8896148,0.27492338,0.9095572
subImage_2,lightHole,0,746,0.08054845,0.05351882,0.1162992,0.075575314
subImage_2,lightHole,0,746,0.24107651,0.7386331,0.27750763,0.76409274
subImage_2,darkHole,0,746,0.69996214,0.49244726,0.7332885,0.5162505
subImage_2,darkHole,0,746,0.3857339,0.098949015,0.42516777,0.12494393
subImage_2,lightHole,0,746,0.07839003,0.0058427183,0.11565658,0.025962975
subImage_2,lightHole,0,746,0.09180402,0.93656373,0.13158402,0.9608743
subImage_2,lightHole,0,746,0.07627454,0.49301836,0.12310474,0.51916265
subImage_2,darkHole,0,746,0.6990285,0.8356106,0.73386717,0.8573962
subImage_2,lightHole,0,746,0.08592468,0.8366069,0.12411489,0.8631551
subImage_2,lightHole,0,746,0.24021295,0.44549263,0.2749267,0.46777973
