SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height
subImage_7,channel0,478,0,0.19767118,0.8759928,0.2507586,0.89083123,719.980782866478,585.1747134327888,6.004254750419488,4.760835650894377,82.08,0.10085201041207818,0.20645105176501805
subImage_7,channel1,478,0,0.5138493,0.18754916,0.5761406,0.20244643,158.92320286482573,738.5075862407684,1.3253345345607248,6.008313695589702,145.49444444444444,0.1012517554241856,0.2422438065210978
subImage_7,channel2,478,0,0.36043334,0.18813588,0.40716916,0.20466863,160.0678351521492,661.4569982886314,1.3348801557942294,5.381449311971664,102.64685314685315,0.11236754306134039,0.18175042337841457
subImage_7,channel3,478,0,0.35596862,0.8762007,0.41257513,0.8913399,720.27278393507,661.6819562613964,6.006689883196562,5.383279513981607,92.95679012345678,0.10289620937949044,0.22013639410336813
subImage_7,channel4,478,0,0.5046368,0.68125767,0.55491525,0.69528633,560.9416794776917,731.232945561409,4.677953667461741,5.949129031764136,104.90151515151516,0.0953481485073491,0.19552720917595756
subImage_7,channel5,478,0,0.20329195,0.18698826,0.2547524,0.20150748,158.31201538443565,587.4725996851921,1.32023755778043,4.779530680841869,132.85416666666666,0.09868222649026684,0.20012395249472723
subImage_7,channel6,478,0,0.6550643,0.0866549,0.71290475,0.10403213,77.70496495068073,804.9445996284485,0.6480178583083506,6.548828681310018,76.80952380952381,0.11810718059013485,0.22493514749738905
subImage_7,channel7,478,0,0.81537086,0.6820491,0.8738304,0.6950531,561.1691449582577,881.7190953493118,4.679850607942301,7.1734468473328485,60.81818181818182,0.08838385511678547,0.22734257909986708
subImage_7,channel8,478,0,0.6664771,0.48363924,0.7167262,0.49861747,400.2696095407009,808.5855810642242,3.338034516650437,6.578450798988342,114.09375,0.10180199982519386,0.19541316562228733
subImage_7,channel9,478,0,0.66686845,0.18836059,0.73180354,0.20504168,160.31142238527536,812.2826043367386,1.3369115430707292,6.6085288590855065,118.29493087557604,0.1133757674331492,0.25252534283532035
subImage_7,channel10,478,0,0.6613046,0.28938285,0.7130529,0.3009057,240.5425839871168,806.4714476466179,2.005996530674999,6.561250736316045,90.88333333333334,0.07831700568343017,0.20124352640575832
subImage_7,channel11,478,0,0.6767353,0.87645996,0.7286737,0.8918644,720.5921828746796,813.8927458524704,6.009353499568091,6.621628569232093,99.60666666666667,0.10469896114425155,0.20198272334204778
subImage_7,channel12,478,0,0.33118796,0.088320166,0.39390814,0.10289329,77.91948445141315,651.2979694604874,0.6498068362394034,5.298797984917958,51.611111111111114,0.09904865097818288,0.24391180939144558
subImage_7,channel13,478,0,0.18377411,0.48379368,0.24096535,0.49834612,400.2219668775797,579.5127321630716,3.3376372023148666,4.714771182172828,97.83333333333333,0.09890807685180714,0.22241036925050947
subImage_7,channel14,478,0,0.18593615,0.67971313,0.24005239,0.6953128,560.3230656683445,579.8112610727549,4.672794759068853,4.7171999389926595,105.07692307692308,0.1060257054205645,0.210452021823989
subImage_7,channel15,478,0,0.3504255,0.9736255,0.39974055,0.98870903,799.6513143181801,657.2896879911423,6.668664382344401,5.347545113828447,106.38194444444444,0.10251783406526867,0.1917806930012173
subImage_7,channel16,478,0,0.18644474,0.5822485,0.24353948,0.5975992,480.7879447937012,580.7662302106619,4.009514378951641,4.724969329933326,119.76353276353277,0.10433354943822581,0.2220350917842653
subImage_7,channel17,478,0,0.830556,0.97431463,0.8796703,0.9904111,800.625736117363,886.7440850734711,6.676790539119534,7.214328911569384,85.04013377926421,0.10940232024287547,0.19100023640526664
subImage_7,channel18,478,0,0.67255116,0.97439665,0.722492,0.99003667,800.5065748095512,811.4153091907501,6.675796797528758,6.601472761895922,110.82638888888889,0.10629996675646186,0.19421431753370497
subImage_7,channel19,478,0,0.5101214,0.9745861,0.55770504,0.98997575,800.5589659512043,733.2105215191841,6.67623371163624,5.965218096971512,96.48913043478261,0.10459808806797614,0.18504748741785684
