SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX17Y0P0017.jpg,1.256,1.408,0.104,15.592,1.256,50,421,17,27,459
captureX17Y0P0017.jpg,1.264,0.808,0.104,16.192,1.264,44,367,16,25,400
captureX17Y0P0017.jpg,1.264,0.2,0.088,16.8,1.268,35,315,15,23,345
captureX17Y0P0017.jpg,1.888,3.24,0.112,13.76,1.888,61,475,18,29,522
captureX17Y0P0017.jpg,1.888,2.632,0.112,14.368,1.888,58,491,19,29,551
captureX17Y0P0017.jpg,1.888,2.032,0.112,14.968,1.892,56,454,17,29,493
captureX17Y0P0017.jpg,1.896,1.424,0.112,15.576,1.9,54,464,18,29,522
captureX17Y0P0017.jpg,1.896,0.816,0.112,16.18,1.9,50,426,17,28,476
captureX17Y0P0017.jpg,1.904,0.216,0.112,16.77866667175293,1.904,50,447,18,28,504
captureX17Y0P0017.jpg,2.52,3.248,0.104,13.74553857421875,2.524,51,404,16,27,432
captureX17Y0P0017.jpg,2.528,2.648,0.104,14.347999999999999,2.528,48,372,15,26,390
captureX17Y0P0017.jpg,2.528,2.048,0.112,14.948,2.532,48,411,16,28,448
captureX17Y0P0017.jpg,2.536,1.44,0.104,15.556000000000001,2.536,45,378,16,26,416
captureX17Y0P0017.jpg,2.536,0.24,0.104,16.76,2.54,42,404,17,27,459
captureX17Y0P0017.jpg,2.536,0.832,0.096,16.164,2.54,36,314,14,24,336
captureX17Y0P0017.jpg,3.16,3.256,0.112,13.744,3.164,59,451,17,29,493
captureX17Y0P0017.jpg,3.168,2.664,0.112,14.336,3.168,60,472,18,29,522
captureX17Y0P0017.jpg,3.168,2.056,0.112,14.943999999999999,3.168,54,467,18,29,522
captureX17Y0P0017.jpg,3.168,1.448,0.12,15.548,3.172,57,499,19,30,570
captureX17Y0P0017.jpg,3.176,0.864,0.096,16.134354736328124,3.17948681640625,49,409,18,25,450
captureX17Y0P0017.jpg,3.184,0.248,0.112,16.748,3.184,46,414,16,28,448
captureX17Y0P0017.jpg,3.8,3.296,0.112,13.7,3.804,57,465,19,28,532
captureX17Y0P0017.jpg,3.8,2.688,0.12,14.308,3.804,58,484,18,30,540
captureX17Y0P0017.jpg,3.816,2.088,0.104,14.908,3.816,55,410,17,26,442
captureX17Y0P0017.jpg,3.816,1.48,0.112,15.513285766601562,3.816,60,471,18,29,522
captureX17Y0P0017.jpg,3.816,0.88,0.112,16.12,3.816,61,478,18,29,522
captureX17Y0P0017.jpg,3.824,0.272,0.112,16.728,3.824,56,488,19,29,551
captureX17Y0P0017.jpg,4.44,3.232,0.104,13.764,4.444,43,390,17,26,442
captureX17Y0P0017.jpg,4.448,2.632,0.104,14.36153857421875,4.452,52,432,18,27,486
captureX17Y0P0017.jpg,4.448,2.048,0.104,14.952,4.452,52,417,17,27,459
